Date_select,Sector_Type,Station,State,Agency,Unit_no,Capacity,Reason,Outage_date,Outage_time,Expected_revival_date,Inserted_at
26-05-2020,"Central Sector (CS)",RGPPL,Maharashtra,RGPPL,2A,332,"Less gas availability",02-07-2019,21:00,-,2020-05-27T16:02:11.958859
26-05-2020,"Central Sector (CS)",RGPPL,Maharashtra,RGPPL,2B,332,"Less gas availability",02-07-2019,21:00,-,2020-05-27T16:02:12.058251
26-05-2020,"Central Sector (CS)",RGPPL,Maharashtra,RGPPL,1A,320,"Kept on Dry Preservation/gas shortage",08-07-2014,13:30,-,2020-05-27T16:02:12.192097
26-05-2020,"Central Sector (CS)","Solapur STPS",Maharashtra,NTPC,1,660,RSD,16-06-2019,01:21,-,2020-05-27T16:02:12.302799
26-05-2020,"State Sector (SS)",Wanakbori,Gujarat,GSECL,5,210,RSD,06-07-2019,11:41,-,2020-05-27T16:02:12.403658
26-05-2020,"State Sector (SS)","GIPCL STG",Gujarat,GSECL,2,165,"No purchase from 1st March 18",01-03-2018,00:00,-,2020-05-27T16:02:12.503344
26-05-2020,"State Sector (SS)","GPEC GT",Gujarat,"Torrent Power",3,138,"No schedule(PPA expired)",10-12-2018,11:36,-,2020-05-27T16:02:12.703389
26-05-2020,"State Sector (SS)","GPEC GT",Gujarat,"Torrent Power",1,138,"No schedule(PPA expired)",10-12-2018,12:34,-,2020-05-27T16:02:12.926004
26-05-2020,"State Sector (SS)","GPEC GT",Gujarat,"Torrent Power",2,138,"No schedule(PPA expired)",10-12-2018,18:55,-,2020-05-27T16:02:13.058907
26-05-2020,"State Sector (SS)",GPPC,Gujarat,GSPC,2,351,RSD,17-10-2018,20:47,-,2020-05-27T16:02:13.170605
26-05-2020,"State Sector (SS)",GSEG,Gujarat,GSPC,1,78,RSD,11-10-2018,22:26,-,2020-05-27T16:02:13.337498
26-05-2020,"State Sector (SS)",DGBP,Gujarat,GSECL,3,375,RSD,04-07-2019,21:33,-,2020-05-27T16:02:13.525312
26-05-2020,"State Sector (SS)",Wanakbori,Gujarat,GSECL,3,210,RSD,04-07-2019,02:45,-,2020-05-27T16:02:13.648304
26-05-2020,"State Sector (SS)",Wanakbori,Gujarat,GSECL,6,210,RSD,05-07-2019,08:24,-,2020-05-27T16:02:13.758953
26-05-2020,"State Sector (SS)",Ukai,Gujarat,GSECL,6,500,RSD,05-07-2019,09:33,-,2020-05-27T16:02:13.881633
26-05-2020,"State Sector (SS)","UTRAN STG II",Gujarat,GSECL,1,375,RSD.,09-07-2019,00:16,-,2020-05-27T16:02:14.036960
26-05-2020,"State Sector (SS)","GSEG STAGE II",Gujarat,GSPC,1,351,RSD,25-06-2019,03:14,-,2020-05-27T16:02:14.214485
26-05-2020,"State Sector (SS)",Gandhinagar,Gujarat,GSECL,3,210,RSD.,27-06-2019,15:31,-,2020-05-27T16:02:14.347640
26-05-2020,"State Sector (SS)",Gandhinagar,Gujarat,GSECL,4,210,RSD.,27-06-2019,13:49,-,2020-05-27T16:02:14.459341
26-05-2020,"State Sector (SS)",Wanakbori,Gujarat,GSECL,4,210,RSD,04-07-2019,10:50,-,2020-05-27T16:02:14.602956
26-05-2020,"State Sector (SS)",Wanakbori,Gujarat,GSECL,2,210,RSD,04-07-2019,12:10,-,2020-05-27T16:02:14.758538
26-05-2020,"State Sector (SS)",Wanakbori,Gujarat,GSECL,1,210,RSD.,04-07-2019,14:55,-,2020-05-27T16:02:14.870240
26-05-2020,"State Sector (SS)",Singaji,"Madhya Pradesh",MPPGCL,1,600,COH,05-06-2019,23:49,-,2020-05-27T16:02:14.980948
26-05-2020,"State Sector (SS)","JP Bina","Madhya Pradesh",MPPGCL,2,250,"Boiler inspection",29-06-2019,23:28,-,2020-05-27T16:02:15.147510
26-05-2020,"State Sector (SS)","Satpura IV","Madhya Pradesh",MPPGCL,11,250,COH,06-07-2019,00:01,-,2020-05-27T16:02:15.248236
26-05-2020,"State Sector (SS)","RATTAN INDIA POWER(A)",Maharashtra,"Rattan India Power Ltd",3,270,"Zero schedule",01-07-2019,00:00,-,2020-05-27T16:02:15.381887
26-05-2020,"State Sector (SS)",PARLI,Maharashtra,MAHAGENCO,4,210,"ECONOMIC SHUT DOWN SINCE 1ST APRIL 2016",05-07-2015,18:45,-,2020-05-27T16:02:15.491915
26-05-2020,"State Sector (SS)","APML Tiroda",Maharashtra,"Adani Transmission India Limited",4,660,"tripped on MS drain bonnet leakage; converted to AOH for 35days w.e.f. 11:55hrs/20-06-2019",19-06-2019,16:09,-,2020-05-27T16:02:15.592078
26-05-2020,"State Sector (SS)","RATTAN INDIA POWER(A)",Maharashtra,"Rattan India Power Ltd",5,270,"No Schedule.",29-06-2019,03:00,-,2020-05-27T16:02:15.781205
26-05-2020,"State Sector (SS)","RATTAN INDIA POWER(A)",Maharashtra,"Rattan India Power Ltd",1,270,RSD,30-06-2019,16:00,-,2020-05-27T16:02:15.904093
26-05-2020,"State Sector (SS)",PIONEER(262+127),Maharashtra,MAHAGENCO,1,388,RSD,07-02-2017,17:45,-,2020-05-27T16:02:16.003301
26-05-2020,"State Sector (SS)","RATTAN INDIA POWER(A)",Maharashtra,"Rattan India Power Ltd",4,270,"NO schedule",01-07-2019,17:45,-,2020-05-27T16:02:16.070493
26-05-2020,"State Sector (SS)",WPCL,Maharashtra,MAHAGENCO,2,135,RSD,27-11-2018,00:00,-,2020-05-27T16:02:16.180834
26-05-2020,"State Sector (SS)",PARLI,Maharashtra,MAHAGENCO,5,210,"ECONOMIC SHUT DOWN SINCE 1ST APRIL 2016",06-07-2015,14:55,-,2020-05-27T16:02:16.292101
26-05-2020,"State Sector (SS)",PARLI,Maharashtra,MAHAGENCO,8,250,"No schedule",04-06-2019,00:00,-,2020-05-27T16:02:16.414636
26-05-2020,"State Sector (SS)",Bhusawal,Maharashtra,MAHAGENCO,3,210,RSD,28-06-2019,18:35,-,2020-05-27T16:02:16.548285
26-05-2020,"State Sector (SS)","Dhariwal STU",Maharashtra,"Dhariwal Infrastructure Ltd",1,300,"No schedule",01-07-2019,00:01,-,2020-05-27T16:02:16.725874
26-05-2020,"State Sector (SS)",Nasik,Maharashtra,MAHAGENCO,5,210,"Zero Schedule.",04-07-2019,15:27,-,2020-05-27T16:02:16.869486
26-05-2020,"State Sector (SS)",Nasik,Maharashtra,MAHAGENCO,3,210,RSD,08-07-2019,19:33,-,2020-05-27T16:02:17.036106
26-05-2020,"State Sector (SS)",PARLI,Maharashtra,MAHAGENCO,6,250,RSD,12-12-2018,00:00,-,2020-05-27T16:02:17.136771
26-05-2020,"State Sector (SS)",Trombay,Maharashtra,MAHAGENCO,6,500,"Unit 6 is kept under economic shutdown since 4th May.",04-05-2016,00:00,-,2020-05-27T16:02:17.314737
26-05-2020,"State Sector (SS)","URAN B0",Maharashtra,MAHAGENCO,1,120,"Transformer shifting work",08-09-2018,12:19,-,2020-05-27T16:02:17.403709
26-05-2020,"State Sector (SS)",WPCL,Maharashtra,MAHAGENCO,3,135,AOH,01-11-2018,00:28,-,2020-05-27T16:02:17.469758
26-05-2020,"State Sector (SS)",WPCL,Maharashtra,MAHAGENCO,4,135,RSD,15-12-2018,00:00,-,2020-05-27T16:02:17.536727
26-05-2020,"State Sector (SS)","RATTAN INDIA POWER(A)",Maharashtra,"Rattan India Power Ltd",2,270,"No Schedule",29-06-2019,00:00,-,2020-05-27T16:02:17.736196
